ID,Name,Nationality,Age,Team,Contract_Period,Height_cm,Weight_kg,Positions,BP,foot,↓OVA,POT,Player_Tier,Growth,Value_Eur,Wage_Eur,Release_Clause_Eur,Offensive_Score,Total Stats,Base Stats,Hits
158023,Lionel Messi,Argentina,33,FC Barcelona,2004 ~ 2021,170.2,72.1,RW ST CF,RW,Left,93,93,Legendary,0,67500000.0,560000.0,138400000.0,449.5,2231,466,"
372"
20801,C. Ronaldo dos Santos Aveiro,Portugal,35,Juventus,2018 ~ 2022,188.0,83.0,ST LW,ST,Right,92,92,Legendary,0,46000000.0,220000.0,75900000.0,425.5,2221,464,"
344"
200389,Jan Oblak,Slovenia,27,Atlético Madrid,2014 ~ 2023,188.0,87.1,GK,GK,Right,91,93,Legendary,2,75000000.0,125000.0,159400000.0,102.0,1413,489,"
86"
192985,Kevin De Bruyne,Belgium,29,Manchester City,2015 ~ 2023,180.3,69.9,CAM CM,CAM,Right,91,91,Legendary,0,87000000.0,370000.0,161000000.0,424.0,2304,485,"
163"
190871,Neymar da Silva Santos Jr.,Brazil,28,Paris Saint-Germain,2017 ~ 2022,175.3,68.0,LW CAM,LW,Right,91,91,Legendary,0,90000000.0,270000.0,166500000.0,428.0,2175,451,"
273"
188545,Robert Lewandowski,Poland,31,FC Bayern München,2014 ~ 2023,182.9,79.8,ST,ST,Right,91,91,Legendary,0,80000000.0,240000.0,132000000.0,415.0,2195,457,"
182"
231747,Kylian Mbappe,France,21,Paris Saint-Germain,2018 ~ 2022,177.8,73.0,ST LW RW,ST,Right,90,95,Legendary,5,105500000.0,160000.0,203100000.0,401.0,2147,466,"
646"
212831,Alisson Ramses Becker,Brazil,27,Liverpool,2018 ~ 2024,190.5,91.2,GK,GK,Right,90,91,Legendary,1,62500000.0,160000.0,120300000.0,126.0,1389,490,"
79"
209331,Mohamed Salah,Egypt,28,Liverpool,2017 ~ 2023,175.3,71.2,RW,RW,Left,90,90,World Class,0,78000000.0,250000.0,144300000.0,399.0,2211,470,"
164"
208722,Sadio Mane,Senegal,28,Liverpool,2016 ~ 2023,175.3,68.9,LW,LW,Right,90,90,World Class,0,78000000.0,250000.0,144300000.0,400.5,2203,469,"
170"
203376,Virgil van Dijk,Netherlands,28,Liverpool,2018 ~ 2023,193.0,92.1,CB,CB,Right,90,91,Legendary,1,75500000.0,210000.0,145300000.0,339.5,2112,455,"
170"
192448,Marc-Andre ter Stegen,Germany,28,FC Barcelona,2014 ~ 2022,188.0,84.8,GK,GK,Right,90,93,Legendary,3,69500000.0,260000.0,147700000.0,131.0,1442,484,"
93"
200145,Carlos Henrique Venancio Casimiro,Brazil,28,Real Madrid,2013 ~ 2023,185.4,83.9,CDM,CDM,Right,89,89,World Class,0,59500000.0,310000.0,122000000.0,359.0,2220,463,"
131"
192119,Thibaut Courtois,Belgium,28,Real Madrid,2018 ~ 2024,198.1,96.2,GK,GK,Left,89,90,World Class,1,56000000.0,250000.0,119000000.0,98.0,1325,468,"
89"
167495,Manuel Neuer,Germany,34,FC Bayern München,2011 ~ 2023,193.0,92.1,GK,GK,Right,89,89,World Class,0,29000000.0,125000.0,47900000.0,139.5,1515,497,"
90"
165153,Karim Benzema,France,32,Real Madrid,2009 ~ 2022,185.4,81.2,CF ST,CF,Right,89,89,World Class,0,53000000.0,350000.0,108700000.0,415.0,2111,442,"
169"
155862,Sergio Ramos Garcia,Spain,34,Real Madrid,2005 ~ 2021,182.9,82.1,CB,CB,Right,89,89,World Class,0,24500000.0,300000.0,50200000.0,377.5,2258,463,"
187"
153079,Sergio Aguero,Argentina,32,Manchester City,2011 ~ 2021,172.7,69.9,ST,ST,Right,89,89,World Class,0,53000000.0,300000.0,98100000.0,404.0,2118,439,"
103"
215914,N'Golo Kante,France,29,Chelsea,2016 ~ 2023,167.6,69.9,CDM CM,CDM,Right,88,88,World Class,0,51000000.0,190000.0,96900000.0,332.0,2169,468,"
169"
212622,Joshua Kimmich,Germany,25,FC Bayern München,2015 ~ 2023,175.3,73.0,CDM RB,CDM,Right,88,90,World Class,2,65000000.0,145000.0,112100000.0,391.5,2269,473,"
317"
211110,Paulo Dybala,Argentina,26,Juventus,2015 ~ 2022,177.8,74.8,CF CAM,CAM,Left,88,89,World Class,1,71000000.0,190000.0,122500000.0,420.5,2154,452,"
239"
210257,Ederson Santana de Moraes,Brazil,26,Manchester City,2017 ~ 2024,188.0,86.2,GK,GK,Left,88,91,Legendary,3,53500000.0,195000.0,103000000.0,140.0,1534,498,"
56"
202652,Raheem Sterling,England,25,Manchester City,2015 ~ 2023,170.2,68.9,LW RW,LW,Right,88,90,World Class,2,72500000.0,270000.0,139600000.0,373.5,2111,455,"
130"
202126,Harry Kane,England,26,Tottenham Hotspur,2010 ~ 2024,188.0,88.9,ST,ST,Right,88,89,World Class,1,71000000.0,220000.0,140200000.0,407.5,2172,449,"
229"
201024,Kalidou Koulibaly,Senegal,29,Napoli,2014 ~ 2023,188.0,88.9,CB,CB,Right,88,88,World Class,0,50000000.0,140000.0,85000000.0,243.0,1734,401,"
124"
183277,Eden Hazard,Belgium,29,Real Madrid,2019 ~ 2024,175.3,73.9,LW ST,LW,Right,88,88,World Class,0,58000000.0,350000.0,118900000.0,407.5,2105,446,"
172"
182521,Toni Kroos,Germany,30,Real Madrid,2014 ~ 2023,182.9,76.2,CM,CM,Right,88,88,World Class,0,55000000.0,310000.0,112800000.0,414.5,2150,447,"
114"
162835,Samir Handanovic,Slovenia,35,Inter,2012 ~ 2021,193.0,92.1,GK,GK,Right,88,88,World Class,0,16000000.0,100000.0,27200000.0,93.0,1317,477,"
46"
233049,Jadon Sancho,England,20,Borussia Dortmund,2017 ~ 2023,180.3,76.2,RM LM CAM,CAM,Right,87,93,Legendary,6,69500000.0,82000.0,132100000.0,376.5,1986,430,"
663"
231281,Trent Alexander-Arnold,England,21,Liverpool,2015 ~ 2024,180.3,68.9,RB,RB,Right,87,92,Legendary,5,60000000.0,110000.0,115500000.0,395.5,2220,464,"
479"
218667,Bernardo Mota Carvalho e Silva,Portugal,25,Manchester City,2017 ~ 2025,172.7,64.0,RW CAM CM,RW,Left,87,88,World Class,1,60000000.0,230000.0,115500000.0,391.0,2124,451,"
203"
216267,Andrew Robertson,Scotland,26,Liverpool,2017 ~ 2024,177.8,64.0,LB,LB,Left,87,89,World Class,2,53000000.0,155000.0,102000000.0,343.0,2127,461,"
198"
212218,Aymeric Laporte,France,26,Manchester City,2018 ~ 2024,188.0,84.8,CB,CB,Left,87,90,World Class,3,56000000.0,200000.0,107800000.0,331.0,1983,422,"
122"
212198,Bruno Miguel Borges Fernandes,Portugal,25,Manchester United,2020 ~ 2025,177.8,68.9,CAM CM,CAM,Right,87,90,World Class,3,63000000.0,195000.0,124400000.0,414.5,2303,476,"
565"
209499,Fabio Henrique Tavares,Brazil,26,Liverpool,2018 ~ 2023,188.0,78.0,CDM,CDM,Right,87,89,World Class,2,54500000.0,155000.0,104900000.0,355.0,2171,460,"
152"
201942,Roberto Firmino Barbosa de Oliveira,Brazil,28,Liverpool,2015 ~ 2023,180.3,76.2,CF,CF,Right,87,87,World Class,0,52000000.0,190000.0,96200000.0,401.5,2208,467,"
140"
200104,Heung Min Son,Korea Republic,27,Tottenham Hotspur,2015 ~ 2023,182.9,78.0,LM CF,LM,Right,87,87,World Class,0,52500000.0,165000.0,99800000.0,399.5,2128,453,"
276"
194765,Antoine Griezmann,France,29,FC Barcelona,2019 ~ 2024,175.3,73.0,ST CF LW,ST,Left,87,87,World Class,0,50500000.0,290000.0,103500000.0,427.0,2288,465,"
209"
193041,Keylor Navas,Costa Rica,33,Paris Saint-Germain,2019 ~ 2023,185.4,79.8,GK,GK,Right,87,87,World Class,0,27000000.0,110000.0,50000000.0,88.0,1380,471,"
25"
192387,Ciro Immobile,Italy,30,Lazio,2016 ~ 2025,185.4,84.8,ST,ST,Right,87,87,World Class,0,48500000.0,125000.0,82500000.0,367.5,2057,438,"
136"
189511,Sergio Busquets Burgos,Spain,31,FC Barcelona,2008 ~ 2023,188.0,76.2,CDM CM,CDM,Right,87,87,World Class,0,38000000.0,240000.0,77900000.0,358.0,2021,424,"
109"
188567,Pierre-Emerick Aubameyang,Gabon,31,Arsenal,2018 ~ 2023,188.0,79.8,ST LW,ST,Right,87,87,World Class,0,45000000.0,170000.0,85500000.0,393.0,2072,441,"
139"
186153,Wojciech Szczesny,Poland,30,Juventus,2017 ~ 2024,195.6,89.8,GK,GK,Right,87,87,World Class,0,34000000.0,105000.0,56100000.0,92.5,1317,465,"
42"
183898,Angel Di Maria,Argentina,32,Paris Saint-Germain,2015 ~ 2021,180.3,68.9,RW LW,RW,Left,87,87,World Class,0,39000000.0,160000.0,72200000.0,405.5,2168,453,"
99"
177003,Luka Modric,Croatia,34,Real Madrid,2012 ~ 2021,172.7,66.2,CM,CM,Right,87,87,World Class,0,24500000.0,260000.0,50200000.0,403.5,2252,463,"
137"
176580,Luis Suarez,Uruguay,33,Atlético Madrid,2020 ~ 2022,182.9,83.0,ST,ST,Right,87,87,World Class,0,31500000.0,115000.0,64599999.99999999,421.0,2316,459,"
166"
167948,Hugo Lloris,France,33,Tottenham Hotspur,2012 ~ 2022,188.0,82.1,GK,GK,Left,87,87,World Class,0,27000000.0,125000.0,51300000.0,104.5,1361,476,"
56"
138956,Giorgio Chiellini,Italy,35,Juventus,2005 ~ 2021,188.0,84.8,CB,CB,Left,87,87,World Class,0,15500000.0,94000.0,25600000.0,278.0,1830,399,"
80"
208830,Jamie Vardy,England,33,Leicester City,2012 ~ 2023,177.8,73.9,ST,ST,Right,86,86,World Class,0,28000000.0,160000.0,53200000.0,360.0,2119,447,"
104"
204963,Daniel Carvajal Ramos,Spain,28,Real Madrid,2013 ~ 2022,172.7,73.0,RB,RB,Right,86,86,World Class,0,38000000.0,230000.0,77900000.0,349.0,2133,454,"
89"
201535,Raphael Varane,France,27,Real Madrid,2011 ~ 2022,190.5,81.2,CB,CB,Right,86,88,World Class,2,46500000.0,220000.0,98800000.0,301.0,1933,428,"
150"
199556,Marco Verratti,Italy,27,Paris Saint-Germain,2012 ~ 2024,165.1,59.9,CM CDM,CM,Right,86,87,World Class,1,50000000.0,135000.0,96300000.0,377.5,2168,445,"
112"
195864,Paul Pogba,France,27,Manchester United,2016 ~ 2021,190.5,83.9,CM CDM,CM,Right,86,87,World Class,1,50000000.0,190000.0,98800000.0,417.5,2235,476,"
285"
193080,David De Gea Quintana,Spain,29,Manchester United,2011 ~ 2023,193.0,82.1,GK,GK,Right,86,86,World Class,0,31500000.0,150000.0,59900000.0,128.5,1449,476,"
133"
189596,Thomas Muller,Germany,30,FC Bayern München,2008 ~ 2023,185.4,74.8,CAM RM RW,CAM,Right,86,86,World Class,0,42000000.0,130000.0,69300000.0,397.0,2117,437,"
96"
189332,Jordi Alba Ramos,Spain,31,FC Barcelona,2012 ~ 2024,170.2,68.0,LB,LB,Left,86,86,World Class,0,32000000.0,220000.0,65599999.99999999,379.5,2224,471,"
69"
183711,Jordan Henderson,England,30,Liverpool,2011 ~ 2023,182.9,79.8,CDM CM,CDM,Right,86,86,World Class,0,36500000.0,140000.0,67500000.0,390.0,2220,465,"
143"
178603,Mats Hummels,Germany,31,Borussia Dortmund,2019 ~ 2022,190.5,93.9,CB,CB,Right,86,86,World Class,0,33000000.0,93000.0,56100000.0,352.0,2040,431,"
100"
177683,Yann Sommer,Switzerland,31,Borussia Mönchengladbach,2014 ~ 2023,182.9,78.9,GK,GK,Right,86,86,World Class,0,28500000.0,55000.0,48500000.0,90.0,1366,474,"
38"
168542,David Josue Jimenez Silva,Spain,34,Real Sociedad,2020 ~ 2022,172.7,67.1,CAM CM,CAM,Left,86,86,World Class,0,22500000.0,58000.0,47300000.0,401.5,2060,421,"
83"
152729,Gerard Pique Bernabeu,Spain,33,FC Barcelona,2008 ~ 2022,193.0,84.8,CB,CB,Right,86,86,World Class,0,21000000.0,220000.0,43100000.0,334.5,1991,422,"
67"
143076,Alejandro Gomez,Argentina,32,Atalanta,2014 ~ 2022,167.6,68.0,CAM CF ST,CAM,Right,86,86,World Class,0,34500000.0,100000.0,58700000.0,385.0,2065,435,"
207"
235790,Kai Havertz,Germany,21,Chelsea,2020 ~ 2025,188.0,83.0,CAM RM CF,CAM,Left,85,93,Legendary,8,57000000.0,105000.0,119700000.0,394.0,2058,441,"
416"
235243,Matthijs de Ligt,Netherlands,20,Juventus,2019 ~ 2024,188.0,88.9,CB,CB,Right,85,92,Legendary,7,49500000.0,80000.0,91600000.0,313.5,1988,435,"
315"
232363,Milan Skriniar,Slovakia,25,Inter,2017 ~ 2023,188.0,79.8,CB,CB,Right,85,89,World Class,4,44500000.0,130000.0,79000000.0,273.0,1813,403,"
206"
231866,Rodrigo Hernandez Cascante,Spain,24,Manchester City,2019 ~ 2024,190.5,82.1,CDM CM,CDM,Right,85,88,World Class,3,44000000.0,145000.0,84700000.0,352.5,2093,448,"
124"
231677,Marcus Rashford,England,22,Manchester United,2014 ~ 2023,185.4,69.9,LM ST,RM,Right,85,91,Legendary,6,53000000.0,150000.0,111300000.0,390.5,2149,461,"
424"
230621,Gianluigi Donnarumma,Italy,21,Milan,2015 ~ 2021,195.6,89.8,GK,GK,Right,85,92,Legendary,7,41500000.0,34000.0,78900000.0,92.0,1330,468,"
191"
228702,Frenkie de Jong,Netherlands,23,FC Barcelona,2019 ~ 2024,180.3,73.9,CM,CM,Right,85,90,World Class,5,50500000.0,190000.0,107300000.0,386.0,2185,468,"
454"
223848,Sergej Milinkovic-Savic,Serbia,25,Lazio,2015 ~ 2024,190.5,76.2,CM CDM CAM,CM,Right,85,89,World Class,4,49000000.0,94000.0,87000000.0,400.5,2225,475,"
271"
222492,Leroy Sane,Germany,24,FC Bayern München,2020 ~ 2025,182.9,74.8,LM,LM,Left,85,90,World Class,5,51500000.0,100000.0,88800000.0,402.0,2086,444,"
249"
220440,Clement Lenglet,France,25,FC Barcelona,2018 ~ 2023,185.4,81.2,CB,CB,Left,85,89,World Class,4,44500000.0,190000.0,94600000.0,294.5,1930,419,"
121"
212188,Timo Werner,Germany,24,Chelsea,2020 ~ 2025,180.3,76.2,ST LW,ST,Right,85,88,World Class,3,49500000.0,135000.0,97800000.0,375.5,2026,435,"
246"
210243,Ricardo Barbosa Pereira,Portugal,26,Leicester City,2018 ~ 2023,175.3,69.9,RB,RB,Right,85,86,World Class,1,39500000.0,120000.0,78000000.0,362.0,2191,467,"
171"
208670,Hakim Ziyech,Morocco,27,Chelsea,2020 ~ 2025,180.3,64.9,CAM RW,CAM,Left,85,86,World Class,1,44000000.0,140000.0,86900000.0,399.5,2096,443,"
148"
207865,Marcos Aoas Correa,Brazil,26,Paris Saint-Germain,2013 ~ 2024,182.9,74.8,CB CDM,CB,Right,85,89,World Class,4,44000000.0,115000.0,84700000.0,305.0,1962,421,"
122"
206113,Serge Gnabry,Germany,24,FC Bayern München,2017 ~ 2023,175.3,74.8,RM LM RW,RM,Right,85,87,World Class,2,47500000.0,100000.0,81900000.0,374.0,2071,442,"
229"
